Provider ID,Hospital Name,Summary star rating,ZIP Code,City,State,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,MORT_30_AMI,PSI_11_POST_RESP,PSI_12_POSTOP_PULMEMB_DVT,MORT_30_CABG,PSI_10_POST_KIDNEY,PSI_4_SURG_COMP,PSI_14_POSTOP_DEHIS,PSI_6_IAT_PTX,MORT_30_STK,PSI_8_POST_HIP,PSI_13_POST_SEPSIS,PSI_15_ACC_LAC,PSI_90_SAFETY,MORT_30_HF,PSI_3_ULCER,COMP_HIP_KNEE,MORT_30_PN,MORT_30_COPD,PSI_9_POST_HEM,HAI_2_SIR,HAI_6_SIR,HAI_3_SIR,HAI_5_SIR,HAI_4_SIR,HAI_1_SIR,READM_30_PN,READM_30_HF,EDAC_30_HF,READM_30_STK,READM_30_AMI,READM_30_COPD,READM_30_CABG,EDAC_30_AMI,READM_30_HOSP_WIDE,READM_30_HIP_KNEE,MSPB_1,OP_10,OP_13,OP_11,OP_14,OP_8,OP_9,OP_25,OP_17,OP_12,SM_SS_CHECK,SM_PART_GEN_SURG,SM_PART_NURSE,ACS_REGISTRY,OP_4,OP_22,OP_5,OP_21,OP_20
180103,BAPTIST HEALTH LEXINGTON,4,40503,LEXINGTON,KY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,14.0,12.82,2.9,2.2,0.82,165.37,1.91,0.5,15.1,0.09,5.15,0.78,0.88,13.0,0.09,2.0,14.8,7.9,3.92,1.65,0.812,1.101,0.361,0.738,0.245,15.6,20.1,-11.0,11.8,16.5,18.3,12.7,11.1,14.0,4.0,1.03,7.3,5.5,2.8,1.4,31.8,9.4,Yes,No,Yes,Y,Y,Y,,,2.0,,68.0,26.0
180104,BAPTIST HEALTH PADUCAH,4,42003,PADUCAH,KY,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,15.2,13.96,2.33,2.5,1.25,163.03,2.66,0.52,16.9,0.1,4.4,0.83,0.93,15.6,0.32,3.3,17.4,9.7,4.33,0.872,0.623,1.307,1.758,,1.796,17.7,22.2,13.8,11.9,16.3,19.5,12.8,10.3,15.5,5.0,1.0,12.1,6.1,3.8,2.1,39.1,7.7,Yes,No,Yes,Y,N,Y,,,3.0,,57.0,25.0
180105,MONROE COUNTY MEDICAL CENTER,4,42167,TOMPKINSVILLE,KY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,,Below the national average,Below the national average,Above the national average,Same as the national average,,,,,,,,0.39,15.1,0.1,,,0.98,12.7,0.21,,15.1,7.0,,,0.0,,,,,18.2,22.1,49.2,12.3,,22.2,,,15.5,,0.91,5.4,7.2,5.0,,,9.0,No,Yes,Yes,N,N,N,,90.0,1.0,6.0,59.0,20.0
180106,THE MEDICAL CENTER AT ALBANY,4,42602,ALBANY,KY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,,,,,,,,,0.39,,0.1,,,0.98,14.8,0.22,,17.5,9.1,,,,,,,,17.4,24.1,60.8,,,20.9,,,16.6,,0.99,22.1,,22.8,,,12.6,Yes,Yes,Yes,Y,N,N,,83.0,3.0,8.0,44.0,20.0
180116,JACKSON PURCHASE MEDICAL CENTER,4,42066,MAYFIELD,KY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Below the national average,13.9,,4.22,,,,2.21,0.43,14.3,0.1,,0.87,0.99,12.0,0.16,2.3,13.4,6.6,5.54,3.562,1.6280000000000001,,,,0.5489999999999999,21.0,24.3,38.1,12.8,16.4,21.6,,-0.9,16.0,5.6,1.05,18.5,2.8,0.0,,54.8,6.5,Yes,Yes,Yes,Y,N,N,,98.0,1.0,4.0,26.0,23.0
180124,GREENVIEW REGIONAL HOSPITAL,3,42104,BOWLING GREEN,KY,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,14.1,17.94,3.26,,1.08,,2.16,0.35,13.3,0.12,5.39,0.85,1.05,12.8,0.15,3.2,18.5,7.4,4.3,1.694,0.152,0.0,,,0.0,18.6,21.1,0.1,11.2,16.6,23.7,,-11.9,16.5,4.9,1.0,7.9,,0.6,1.0,,13.7,Yes,Yes,Yes,Y,N,N,,100.0,1.0,7.0,28.0,8.0
180127,FRANKFORT REGIONAL MEDICAL CENTER,3,40601,FRANKFORT,KY,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,13.1,9.33,3.67,,1.11,,2.22,0.37,14.8,0.1,5.57,0.87,0.86,10.5,0.17,2.3,19.0,7.9,4.51,0.242,0.619,2.1430000000000002,0.0,,0.0,17.9,22.2,2.9,12.6,16.9,20.7,,26.3,15.2,4.5,0.97,3.0,,0.5,1.1,,3.5,Yes,Yes,Yes,Y,N,Y,,100.0,0.0,3.0,20.0,4.0
180128,THREE RIVERS MEDICAL CENTER,5,41230,LOUISA,KY,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,,9.8,4.18,,1.12,,,0.45,,0.1,,,1.03,10.3,0.72,,18.7,5.8,4.7,,1.1640000000000001,,,,,17.4,22.3,-3.7,,,20.7,,,15.7,,0.99,3.0,4.2,0.7,,,12.2,Yes,Yes,Yes,Y,N,N,,99.0,1.0,3.0,68.0,22.0
180130,BAPTIST HEALTH LOUISVILLE,4,40207,LOUISVILLE,KY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,14.7,17.54,4.88,3.2,0.83,135.07,1.81,0.27,15.9,0.08,5.24,0.73,1.06,13.4,0.14,2.3,17.8,9.1,3.57,1.358,1.1909999999999998,0.9840000000000001,0.275,0.8009999999999999,0.828,15.5,19.3,2.2,12.0,14.9,17.1,12.9,0.1,14.4,3.8,0.97,3.6,4.0,0.0,1.0,41.1,6.1,Yes,Yes,Yes,Y,N,Y,,,3.0,,99.0,55.0
180132,LAKE CUMBERLAND REGIONAL HOSPITAL,3,42503,SOMERSET,KY,Acute Care Hospitals,Proprietary,Yes,Y,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,15.1,12.28,2.72,3.5,1.14,147.97,2.7,0.43,17.1,0.1,6.22,0.81,0.97,14.5,0.28,2.6,18.2,7.8,5.27,0.997,0.434,1.8319999999999999,1.86,,0.159,18.6,23.6,20.3,11.4,16.1,20.1,16.2,11.4,15.3,4.9,0.97,11.2,3.6,3.1,1.5,39.3,9.4,Yes,Yes,Yes,Y,N,Y,,96.0,1.0,7.0,49.0,28.0
180138,BAPTIST HEALTH LA GRANGE,4,40031,LA GRANGE,KY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,,13.68,3.88,,1.11,,2.23,0.45,16.6,0.1,5.65,0.87,1.01,10.7,0.21,2.5,16.4,8.7,4.63,,0.809,,,,,14.7,22.8,7.4,11.8,,18.8,,,14.1,4.3,0.93,0.6,6.9,0.0,1.1,,7.2,Yes,No,Yes,Y,N,Y,,100.0,3.0,3.0,48.0,35.0
180139,KENTUCKY RIVER MEDICAL CENTER,3,41339,JACKSON,KY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,Same as the national average,,,4.14,,,,,0.39,,0.1,,,0.98,14.0,0.23,,19.7,8.9,4.71,,0.5870000000000001,,,,,15.8,23.3,-29.3,,,22.2,,,16.1,,0.95,1.1,,7.4,0.0,,3.4,Yes,No,Yes,Y,N,N,,100.0,6.0,8.0,58.0,23.0
180141,UNIVERSITY OF LOUISVILLE HOSPITAL,2,40202,LOUISVILLE,KY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,14.7,8.86,7.42,,1.37,178.44,2.5,0.7,19.2,0.1,5.66,0.79,1.17,13.7,0.66,,18.3,7.6,4.85,1.432,1.3519999999999999,1.473,1.9709999999999999,0.7140000000000001,1.307,16.0,22.8,-7.2,13.5,17.3,20.7,,16.4,16.4,,1.05,4.5,3.7,0.0,4.3,,9.7,Yes,No,No,Y,N,Y,,,1.0,,108.0,40.0
180143,SAINT JOSEPH EAST,3,40509,LEXINGTON,KY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,14.4,14.81,4.92,,1.05,144.49,2.17,0.41,13.1,0.1,4.47,0.85,1.01,10.7,0.14,3.5,15.9,8.0,4.64,0.0,0.618,0.0,2.285,,1.072,19.8,25.0,36.9,13.5,17.4,21.6,,8.1,15.7,5.0,0.95,4.1,5.4,6.0,,,5.5,Yes,Yes,Yes,Y,N,Y,,,7.0,,67.0,37.0
181301,MARCUM & WALLACE MEMORIAL HOSPITAL,4,40336,IRVINE,KY,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,,Above the national average,Same as the national average,,,,,,,,,15.0,,,,,11.7,,,16.2,7.1,,,,,,,,18.5,22.3,-11.9,,,18.8,,,15.6,,,6.0,,6.6,0.7,,7.9,,,,,,,,89.0,,,62.0,18.0
181305,SAINT JOSEPH MARTIN,5,41649,MARTIN,KY,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Same as the national average,,,,,,,,,,,,,,,11.3,,,14.6,6.5,,,,,,,,17.3,22.0,-8.3,,,20.3,,,15.8,,,4.1,,0.0,,,5.2,,,,Y,,,,,,,,
181306,METHODIST HOSPITAL UNION COUNTY,4,42437,MORGANFIELD,KY,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,,,,,,,,,,,,,,,,,,14.8,7.6,,,,,,,,17.2,,,,,18.6,,,15.0,,,12.8,,7.1,,,6.3,Yes,Yes,Yes,Y,N,N,,92.0,0.0,8.0,45.0,29.0
181309,CASEY COUNTY HOSPITAL,5,42539,LIBERTY,KY,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,,Same as the national average,Below the national average,Same as the national average,,,,,,,,,,,,,,,11.9,,,16.2,7.5,,,,,,,,17.7,21.7,51.3,,,21.2,,,17.6,,,2.4,,2.2,,,6.0,Yes,Yes,Yes,Y,N,N,,81.0,2.0,10.0,46.0,30.0
181317,CUMBERLAND COUNTY HOSPITAL,4,42717,BURKESVILLE,KY,Critical Access Hospitals,Government - Local,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,,,,,,,,,,,,,,,11.3,,,14.9,8.3,,,,,,,,18.0,21.0,-1.0,,,19.8,,,15.8,,,7.5,,,,,,Yes,Yes,Yes,,,,,75.0,1.0,23.0,,19.0
181318,THE MEDICAL CENTER AT FRANKLIN,3,42135,FRANKLIN,KY,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,,,Same as the national average,,,,,,,,,,,,,,12.6,,,15.4,7.0,,,,,,,,17.3,19.8,-39.8,,,22.2,,,15.3,,,12.7,5.6,4.8,,,7.7,Yes,Yes,Yes,Y,Y,Y,,,1.0,,,
181320,"LIVINGSTON HOSPITAL AND HEALTHCARE SERVICES, INC",5,42078,SALEM,KY,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,,,,,,,,,,,,,,,,,11.7,,,16.3,7.3,,,,,,,,17.6,21.5,-10.4,,,18.9,,,15.9,,,51.1,,43.2,,,8.4,,,,,,,,,,,,
181323,OHIO COUNTY HOSPITAL,4,42347,HARTFORD,KY,Critical Access Hospitals,Proprietary,Yes,Y,Same as the national average,,Same as the national average,,,,,,,,,,,,,,,,,14.9,,,15.6,7.9,,,,,,,,17.3,21.6,-18.0,,,20.4,,,15.8,,,6.9,,0.0,1.1,,6.6,,,,,,,,,,,,
181325,JANE TODD CRAWFORD HOSPITAL,4,42743,GREENSBURG,KY,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Below the national average,Same as the national average,,,,,,,,,,,,,,,13.2,,,14.3,7.9,,,,,,,,17.9,23.5,42.3,,,21.0,,,16.6,,,24.2,,9.9,,,6.5,Yes,Yes,Yes,Y,N,N,,92.0,1.0,17.0,57.0,33.0
181327,MARSHALL COUNTY HOSPITAL,4,42025,BENTON,KY,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,,Below the national average,Same as the national average,Above the national average,,,,,,,,,,,,,,,12.9,,,15.2,6.8,,,,,,,,18.5,21.1,-17.5,,,21.1,,,15.3,,,5.3,,0.4,,,4.0,,,,,,,,89.0,,8.0,64.0,38.0
181329,SAINT JOSEPH BEREA,4,40403,BEREA,KY,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,,,Same as the national average,,,,,,,,,,,,,,10.7,,,16.9,7.6,,,,,,,,16.9,19.5,-4.3,,,19.9,,,15.5,,,4.2,2.3,3.4,,,6.0,,,,,,,,,,,,
190002,LAFAYETTE GENERAL MEDICAL CENTER,4,70503,LAFAYETTE,LA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,17.5,14.95,5.97,5.7,1.17,115.73,1.91,0.32,13.5,0.11,5.89,0.77,1.13,13.6,0.21,2.4,15.5,8.4,5.25,0.588,0.8029999999999999,0.563,1.5030000000000001,0.542,1.349,18.0,21.1,-1.7,11.5,17.2,21.6,17.3,4.1,15.1,4.5,1.02,28.7,,27.6,1.5,50.0,19.9,Yes,Yes,Yes,Y,N,N,,,1.0,,33.0,13.0
190004,THIBODAUX REGIONAL MEDICAL CENTER,4,70301,THIBODAUX,LA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,13.5,6.67,6.23,2.7,1.02,131.73,2.15,0.33,14.8,0.1,5.98,0.84,0.96,13.7,0.37,3.5,17.1,7.6,5.03,1.3980000000000001,0.973,1.003,0.853,,1.329,17.2,22.8,18.1,12.7,15.3,19.3,14.5,-19.4,15.8,4.6,0.98,9.1,,0.0,0.4,38.9,4.0,Yes,Yes,Yes,Y,N,Y,,,2.0,,40.0,15.0
190005,UNIVERSITY MEDICAL CENTER NEW ORLEANS,2,70112,NEW ORLEANS,LA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,14.7,13.53,4.76,,1.1,,2.8,0.38,13.2,0.1,5.35,0.86,1.12,12.0,0.61,,,8.3,6.23,1.209,0.816,2.002,1.871,4.0489999999999995,1.202,17.7,20.0,-21.8,11.9,16.8,19.7,,2.0,15.6,,1.0,6.6,0.0,2.7,,,4.5,Yes,Yes,Yes,Y,N,N,,,6.0,,72.0,48.0
190006,UNIVERSITY HOSPITAL & CLINICS,4,70506,LAFAYETTE,LA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,Same as the national average,,Same as the national average,Below the national average,Below the national average,,13.68,4.12,,1.1,,,0.39,,0.1,6.06,,1.03,,0.22,,,,4.89,1.7209999999999999,0.14300000000000002,3.072,,,0.0,17.2,22.7,10.4,,,,,,15.4,,1.01,19.4,3.3,0.0,,50.0,6.1,Yes,Yes,Yes,Y,N,N,,100.0,1.0,8.0,37.0,19.0
190007,NATCHITOCHES REGIONAL MEDICAL CENTER,4,71457,NATCHITOCHES,LA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,12.8,10.98,5.28,,1.12,,,0.43,16.0,0.12,5.86,,1.01,8.5,0.19,3.0,12.0,7.4,5.0,0.763,0.314,,,,,15.5,23.4,29.3,11.8,,18.9,,,15.0,3.7,1.13,41.1,6.4,15.6,1.5,,5.3,Yes,No,No,Y,N,N,,96.0,1.0,8.0,42.0,21.0
190008,TERREBONNE GENERAL MEDICAL CENTER,4,70360,HOUMA,LA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,14.2,13.34,2.67,4.0,0.87,137.78,3.22,0.41,12.1,0.1,5.2,1.67,0.91,11.7,0.09,2.6,18.1,8.3,5.87,0.48,1.177,1.157,0.0,,0.449,17.3,24.4,54.1,11.8,15.1,19.7,15.4,0.2,15.8,4.1,1.0,5.3,,4.0,1.3,39.9,7.9,No,No,No,N,N,N,,,2.0,,64.0,30.0
190011,UNIVERSITY HEALTH CONWAY,3,71202,MONROE,LA,Acute Care Hospitals,Proprietary,Yes,Y,,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,,11.17,4.19,,1.12,,,0.38,,0.1,5.83,,0.96,11.6,0.23,,15.2,,4.98,1.49,0.0,0.0,0.8690000000000001,,0.9520000000000001,17.4,22.5,-24.2,,,20.8,,,15.3,,1.06,4.2,3.6,0.0,,,8.4,Yes,Yes,Yes,Y,N,N,,88.0,5.0,14.0,30.0,12.0
190013,WEST CALCASIEU CAMERON HOSPITAL,4,70663,SULPHUR,LA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,13.5,7.96,4.28,,1.07,,2.17,0.48,15.0,0.1,6.3,0.84,0.9,15.4,0.16,2.8,14.3,8.9,4.56,0.0,1.52,0.0,,,,16.0,22.5,17.7,11.9,16.1,19.9,,-2.8,14.7,4.9,1.02,21.9,5.9,24.6,0.7,41.0,11.4,Yes,Yes,Yes,Y,N,N,,,2.0,,54.0,28.0
190014,TECHE REGIONAL MEDICAL CENTER,3,70380,MORGAN CITY,LA,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,14.5,10.28,4.0,,1.11,,2.23,0.38,13.2,0.1,6.47,0.87,0.95,13.7,0.18,,16.6,8.3,4.98,1.422,0.217,0.0,,,,18.0,22.3,-7.2,12.8,,20.7,,,16.2,,1.13,17.4,,12.4,,,7.4,Yes,No,No,Y,N,N,,96.0,1.0,3.0,22.0,7.0
190015,"NORTH OAKS MEDICAL CENTER, L L C",3,70403,HAMMOND,LA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,13.2,11.42,6.09,4.0,1.24,128.77,2.11,0.38,13.5,0.1,5.97,0.83,1.13,11.9,0.55,3.0,16.2,7.2,5.09,1.6269999999999998,0.41600000000000004,1.187,3.2060000000000004,,0.523,16.2,19.6,11.0,12.1,15.2,18.8,13.3,8.3,14.7,5.0,1.13,9.8,5.0,3.4,0.9,37.3,7.2,Yes,Yes,Yes,Y,Y,N,,,4.0,,50.0,30.0
190017,OPELOUSAS GENERAL HEALTH SYSTEM,3,70570,OPELOUSAS,LA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,13.5,12.36,4.23,,1.03,142.37,2.17,0.34,14.0,0.11,5.73,1.29,1.02,14.7,0.36,2.6,16.3,7.5,5.36,2.135,0.9059999999999999,0.835,,,1.474,16.3,19.7,-1.1,12.3,15.5,18.5,,-6.3,14.9,4.2,1.08,18.5,,9.8,1.1,46.9,10.8,Yes,Yes,Yes,Y,N,N,,,3.0,,37.0,24.0
190019,CHRISTUS ST FRANCES CABRINI HOSPITAL,3,71301,ALEXANDRIA,LA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,13.9,8.96,5.43,4.1,1.09,127.68,2.08,0.29,16.3,0.11,6.55,1.22,0.94,13.0,0.09,2.8,16.8,9.6,4.29,0.366,0.9079999999999999,1.3119999999999998,1.962,0.8290000000000001,1.507,16.4,21.3,11.1,12.8,16.1,19.2,12.1,13.1,15.1,,1.04,24.9,3.1,2.6,1.0,39.9,7.4,Yes,Yes,Yes,Y,N,Y,,,1.0,,89.0,9.0
190020,LANE REGIONAL MEDICAL CENTER,3,70791,ZACHARY,LA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,12.8,,4.85,,,,2.23,0.37,15.0,0.1,,0.87,1.01,15.2,0.19,3.9,19.7,9.7,4.88,1.0090000000000001,0.162,,,,0.0,20.8,23.6,19.4,13.0,17.3,21.6,,23.9,16.6,5.3,1.08,17.4,,10.7,2.2,,6.7,Yes,Yes,Yes,Y,N,Y,,100.0,2.0,10.0,45.0,20.0
190025,SAVOY MEDICAL CENTER,4,70554,MAMOU,LA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,,,,4.19,,,,,0.45,,0.1,,,1.1,12.7,0.77,,13.6,8.3,5.06,,1.091,,,,,17.3,21.7,8.5,,,20.1,,,15.1,,1.22,45.6,,19.8,,,9.0,Yes,Yes,Yes,Y,N,N,,92.0,2.0,19.0,60.0,20.0
190026,RAPIDES REGIONAL MEDICAL CENTER,4,71301,ALEXANDRIA,LA,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,14.9,10.1,5.99,5.4,0.97,145.18,2.04,0.32,16.3,0.11,6.56,0.8,0.98,11.5,0.09,2.5,15.6,9.2,3.47,1.084,1.031,1.324,2.065,,0.552,18.1,21.7,11.1,14.4,17.2,20.8,15.7,28.5,16.7,4.5,1.05,3.6,3.7,0.1,1.8,48.3,7.2,Yes,Yes,Yes,Y,N,N,,,0.0,,35.0,8.0
190027,CHRISTUS ST PATRICK HOSPITAL,3,70601,LAKE CHARLES,LA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,14.6,12.06,4.57,2.6,1.18,140.23,2.14,0.33,13.3,0.1,7.19,0.84,1.07,11.2,0.34,2.9,15.4,9.4,4.7,0.7490000000000001,0.5489999999999999,0.5489999999999999,1.6869999999999998,,1.9469999999999998,18.2,21.1,19.7,13.7,16.2,19.2,15.5,8.9,15.0,4.7,1.04,12.2,4.8,16.8,1.2,,6.2,Yes,Yes,Yes,Y,N,N,,,1.0,,59.0,12.0
190034,ABBEVILLE GENERAL HOSPITAL,4,70510,ABBEVILLE,LA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,,,15.85,4.77,,1.12,,,0.39,,0.1,5.83,,1.1,14.5,0.21,2.7,14.1,7.6,4.68,0.899,2.478,,,,,16.8,23.7,13.4,,,18.7,,,15.0,3.9,1.1,15.8,,0.5,,52.9,7.1,Yes,Yes,Yes,Y,N,N,,98.0,2.0,12.0,34.0,20.0
190036,OCHSNER MEDICAL CENTER,3,70121,NEW ORLEANS,LA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,15.0,7.69,3.15,3.0,1.03,134.1,1.78,0.48,13.4,0.11,6.37,0.62,0.92,11.1,0.57,2.4,14.1,8.1,4.61,0.8,1.188,0.9279999999999999,1.703,1.631,0.524,17.6,23.1,26.4,14.6,17.9,20.6,14.2,24.4,16.1,4.7,0.96,14.1,4.6,0.8,0.8,46.7,7.1,Yes,Yes,Yes,Y,Y,Y,,,3.0,,66.0,35.0
190039,WEST JEFFERSON MEDICAL CENTER,3,70072,MARRERO,LA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,13.4,18.79,3.74,2.9,1.06,146.57,2.14,0.45,14.4,0.1,5.24,0.84,1.09,12.6,0.11,3.2,15.4,7.4,4.41,1.6340000000000001,1.0190000000000001,1.28,0.828,,2.063,15.0,19.4,-29.5,12.0,16.5,16.7,12.4,18.1,15.2,4.6,1.01,12.4,5.8,17.6,0.2,30.2,9.3,Yes,No,Yes,Y,Y,Y,,,2.0,,34.0,32.0
190040,SLIDELL MEMORIAL HOSPITAL,3,70458,SLIDELL,LA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,11.5,14.77,4.7,3.2,1.43,130.86,2.19,0.4,15.2,0.1,4.8,1.73,1.04,10.1,0.13,3.8,15.0,8.3,5.04,0.14300000000000002,0.57,0.0,1.496,,1.133,18.8,24.5,26.8,13.1,17.0,20.0,13.0,27.3,15.7,4.4,0.96,31.2,5.1,0.2,1.4,49.3,9.8,Yes,Yes,Yes,Y,N,N,,,1.0,11.0,39.0,21.0
190041,CHRISTUS HEALTH SHREVEPORT - BOSSIER,4,71105,SHREVEPORT,LA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,12.7,11.28,2.75,3.3,1.0,135.29,2.68,0.32,13.2,0.1,4.38,0.82,0.8,11.0,0.09,3.7,15.5,9.4,4.88,2.6689999999999996,1.093,1.382,0.0,,1.3559999999999999,18.3,21.7,-6.4,12.3,15.9,21.2,13.7,-24.9,15.9,7.0,1.09,6.3,,0.1,2.2,37.6,7.6,Yes,Yes,Yes,Y,N,Y,,,2.0,,82.0,18.0
190044,ACADIA GENERAL HOSPITAL,3,70526,CROWLEY,LA,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,,,11.85,4.62,,1.11,,2.23,0.38,16.1,0.1,5.65,0.87,1.07,14.1,0.63,,15.9,7.6,4.88,0.0,1.9180000000000001,0.8859999999999999,,,2.177,16.5,23.0,31.9,,,19.3,,,15.5,4.3,1.01,26.7,,28.3,,39.7,5.6,Yes,No,Yes,Y,N,N,,98.0,5.0,8.0,34.0,24.0
190045,ST TAMMANY PARISH HOSPITAL,4,70433,COVINGTON,LA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,12.7,10.16,2.36,2.8,1.18,131.7,2.1,0.33,12.9,0.1,6.25,1.24,0.84,11.2,0.09,2.5,13.2,8.9,4.04,0.272,0.589,0.0,1.216,1.06,0.631,18.4,21.2,2.6,11.8,16.2,20.1,15.6,11.2,16.0,3.7,1.0,20.5,5.7,6.5,1.4,32.1,13.8,Yes,Yes,Yes,Y,N,Y,,,1.0,,23.0,27.0
